monkeyID,animal,chamber,conditionPair,experimentID,sessionRowIndex,blockIndex,clusterID,deltaBiasMerged,clusterIncluded,includedInHistogram,exclusionReason,experimentPermutationP,experimentSignificant,experimentSignificanceAvailable,significanceSourceModelField,significanceSourcePath
M1,Chip,L,0/90,113,14,36,1,-5,0,0,failed mean>0 and one-sided p<0.05,0.129174165166967,0,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,114,15,37,1,9.16666666666666,0,0,failed mean>0 and one-sided p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,118,18,40,1,9.16666666666667,0,0,failed mean>0 and one-sided p<0.05,0.00559888022395521,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,121,20,42,1,0.833333333333329,0,0,failed mean>0 and one-sided p<0.05,0.115976804639072,0,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,122,21,43,1,7.5,0,0,failed mean>0 and one-sided p<0.05,NaN,0,0,,
M1,Chip,L,0/90,59,3,5,2,5,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,89,9,25,2,20,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,109,12,34,2,13.3333333333333,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,112,13,35,2,30,1,1,mean>0 and one-sided signrank p<0.05,0.526694661067786,0,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,116,16,38,2,22.5,1,1,mean>0 and one-sided signrank p<0.05,0.001999600079984,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,117,17,39,2,16.6666666666667,1,1,mean>0 and one-sided signrank p<0.05,0.0643871225754849,0,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,120,19,41,2,18.3333333333333,1,1,mean>0 and one-sided signrank p<0.05,0.637072585482903,0,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,57,1,3,3,45,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,58,2,4,3,26,1,1,mean>0 and one-sided signrank p<0.05,0.477904419116177,0,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,68,4,12,3,38.5714285714286,1,1,mean>0 and one-sided signrank p<0.05,0.0111977604479104,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,72,5,13,3,13.5714285714286,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,73,6,14,3,32.1428571428571,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,83,7,21,3,20.7142857142857,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,84,8,22,3,39.2857142857143,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,90,10,26,3,26.4285714285714,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,L,0/90,108,11,33,3,40.8333333333333,1,1,mean>0 and one-sided signrank p<0.05,0.0203959208158368,1,1,LweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsL-psychometrics43.mat
M1,Chip,R,0/90,12,1,1,1,0,1,1,mean>0 and one-sided signrank p<0.05,1,0,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,14,2,2,1,21.25,1,1,mean>0 and one-sided signrank p<0.05,0.00359928014397121,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,15,3,3,1,0,1,1,mean>0 and one-sided signrank p<0.05,1,0,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,17,4,4,1,23,1,1,mean>0 and one-sided signrank p<0.05,0.0011997600479904,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,19,5,5,1,7.63636363636364,1,1,mean>0 and one-sided signrank p<0.05,0.223555288942212,0,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,20,6,6,1,23.5454545454545,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,23,8,8,1,10,1,1,mean>0 and one-sided signrank p<0.05,0.168366326734653,0,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,24,9,9,1,13,1,1,mean>0 and one-sided signrank p<0.05,0.0527894421115777,0,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,21,7,7,2,26,1,1,mean>0 and one-sided signrank p<0.05,0.000799840031993601,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,26,10,10,2,17,1,1,mean>0 and one-sided signrank p<0.05,0.0135972805438912,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,29,11,11,2,46,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,31,12,12,2,14,1,1,mean>0 and one-sided signrank p<0.05,0.0235952809438112,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,32,13,13,2,13,1,1,mean>0 and one-sided signrank p<0.05,0.0459908018396321,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,34,14,14,2,30,1,1,mean>0 and one-sided signrank p<0.05,0.000399920015996801,1,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M1,Chip,R,0/90,37,15,15,2,5.33333333333334,1,1,mean>0 and one-sided signrank p<0.05,0.326734653069386,0,1,RweibullfreeAllC1,Y:\Chip\Meta\summary\statisticsR-psychometrics16.mat
M2,Pepper,R,0/90,26,1,1,1,0.833333333333343,0,0,failed mean>0 and one-sided p<0.05,0.679864027194561,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,36,10,10,1,-0.833333333333343,0,0,failed mean>0 and one-sided p<0.05,0.781843631273745,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,39,13,13,1,0.833333333333329,0,0,failed mean>0 and one-sided p<0.05,0.918616276744651,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,43,17,17,1,-3.33333333333333,0,0,failed mean>0 and one-sided p<0.05,0.517096580683863,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,44,18,18,1,-4.16666666666667,0,0,failed mean>0 and one-sided p<0.05,0.325934813037393,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,45,19,19,1,0,0,0,failed mean>0 and one-sided p<0.05,1,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,47,20,20,1,-1.66666666666667,0,0,failed mean>0 and one-sided p<0.05,0.777044591081784,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,53,23,23,1,-2.5,0,0,failed mean>0 and one-sided p<0.05,0.586682663467307,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,55,25,25,1,1.66666666666667,0,0,failed mean>0 and one-sided p<0.05,0.694261147770446,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,57,27,27,1,0.833333333333343,0,0,failed mean>0 and one-sided p<0.05,0.907018596280744,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,27,2,2,2,1.5151515151515,1,1,mean>0 and one-sided signrank p<0.05,0.95620875824835,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,28,3,3,2,8.33333333333334,1,1,mean>0 and one-sided signrank p<0.05,0.109178164367127,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,29,4,4,2,8.33333333333333,1,1,mean>0 and one-sided signrank p<0.05,0.245150969806039,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,34,8,8,2,6.66666666666667,1,1,mean>0 and one-sided signrank p<0.05,0.302739452109578,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,35,9,9,2,0.833333333333343,1,1,mean>0 and one-sided signrank p<0.05,0.933413317336533,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,38,12,12,2,4.16666666666667,1,1,mean>0 and one-sided signrank p<0.05,0.515496900619876,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,40,14,14,2,-0.833333333333343,1,1,mean>0 and one-sided signrank p<0.05,1,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,41,15,15,2,6.66666666666667,1,1,mean>0 and one-sided signrank p<0.05,0.239552089582084,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
M2,Pepper,R,0/90,42,16,16,2,3.33333333333333,1,1,mean>0 and one-sided signrank p<0.05,0.679864027194561,0,1,RweibullfreeAllC1,Y:\Pepper\Meta\summary\statisticsR-psychometrics38.mat
