monkeyID,animal,chamber,experimentID,sessionRowIndex,blockIndex,clusterID,deltaBiasMerged,clusterIncluded,includedInHistogram,exclusionReason
M1,Chip,L,113,14,36,1,-5,0,0,failed mean>0 and one-sided p<0.05
M1,Chip,L,114,15,37,1,9.16666666666666,0,0,failed mean>0 and one-sided p<0.05
M1,Chip,L,118,18,40,1,9.16666666666667,0,0,failed mean>0 and one-sided p<0.05
M1,Chip,L,121,20,42,1,0.833333333333329,0,0,failed mean>0 and one-sided p<0.05
M1,Chip,L,122,21,43,1,7.5,0,0,failed mean>0 and one-sided p<0.05
M1,Chip,L,59,3,5,2,5,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,89,9,25,2,20,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,109,12,34,2,13.3333333333333,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,112,13,35,2,30,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,116,16,38,2,22.5,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,117,17,39,2,16.6666666666667,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,120,19,41,2,18.3333333333333,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,57,1,3,3,45,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,58,2,4,3,26,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,68,4,12,3,38.5714285714286,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,72,5,13,3,13.5714285714286,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,73,6,14,3,32.1428571428571,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,83,7,21,3,20.7142857142857,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,84,8,22,3,39.2857142857143,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,90,10,26,3,26.4285714285714,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,L,108,11,33,3,40.8333333333333,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,12,1,1,1,0,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,14,2,2,1,21.25,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,15,3,3,1,0,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,17,4,4,1,23,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,19,5,5,1,7.63636363636364,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,20,6,6,1,23.5454545454545,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,23,8,8,1,10,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,24,9,9,1,13,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,21,7,7,2,26,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,26,10,10,2,17,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,29,11,11,2,46,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,31,12,12,2,14,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,32,13,13,2,13,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,34,14,14,2,30,1,1,mean>0 and one-sided signrank p<0.05
M1,Chip,R,37,15,15,2,5.33333333333334,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,26,1,1,1,0.833333333333343,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,36,10,10,1,-0.833333333333343,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,39,13,13,1,0.833333333333329,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,43,17,17,1,-3.33333333333333,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,44,18,18,1,-4.16666666666667,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,45,19,19,1,0,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,47,20,20,1,-1.66666666666667,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,53,23,23,1,-2.5,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,55,25,25,1,1.66666666666667,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,57,27,27,1,0.833333333333343,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,27,2,2,2,1.5151515151515,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,28,3,3,2,8.33333333333334,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,29,4,4,2,8.33333333333333,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,34,8,8,2,6.66666666666667,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,35,9,9,2,0.833333333333343,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,38,12,12,2,4.16666666666667,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,40,14,14,2,-0.833333333333343,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,41,15,15,2,6.66666666666667,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,42,16,16,2,3.33333333333333,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,49,21,21,2,1.66666666666666,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,52,22,22,2,4.16666666666666,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,54,24,24,2,13.3333333333333,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,56,26,26,2,5.83333333333334,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,63,30,30,2,3.78787878787877,1,1,mean>0 and one-sided signrank p<0.05
M2,Pepper,R,30,5,5,3,11.6666666666667,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,31,6,6,3,11.6666666666667,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,32,7,7,3,15,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,37,11,11,3,6.66666666666667,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,60,28,28,3,5,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,62,29,29,3,-9.16666666666666,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,64,31,31,3,-1.66666666666667,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,67,32,32,3,0.833333333333329,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,68,33,33,3,0,0,0,failed mean>0 and one-sided p<0.05
M2,Pepper,R,69,34,34,3,0,0,0,failed mean>0 and one-sided p<0.05
