monkeyID,animal,chamber,binIndex,binLeft,binRight,count,proportionOfRetainedExperiments,percentOfRetainedExperiments
M1,Chip,L,1,-5,0,0,0,0
M1,Chip,L,2,0,5,0,0,0
M1,Chip,L,3,5,10,1,0.0625,6.25
M1,Chip,L,4,10,15,2,0.125,12.5
M1,Chip,L,5,15,20,2,0.125,12.5
M1,Chip,L,6,20,25,3,0.1875,18.75
M1,Chip,L,7,25,30,2,0.125,12.5
M1,Chip,L,8,30,35,2,0.125,12.5
M1,Chip,L,9,35,40,2,0.125,12.5
M1,Chip,L,10,40,45,1,0.0625,6.25
M1,Chip,L,11,45,50,1,0.0625,6.25
M1,Chip,R,1,-5,0,0,0,0
M1,Chip,R,2,0,5,2,0.133333333333333,13.3333333333333
M1,Chip,R,3,5,10,2,0.133333333333333,13.3333333333333
M1,Chip,R,4,10,15,4,0.266666666666667,26.6666666666667
M1,Chip,R,5,15,20,1,0.0666666666666667,6.66666666666667
M1,Chip,R,6,20,25,3,0.2,20
M1,Chip,R,7,25,30,1,0.0666666666666667,6.66666666666667
M1,Chip,R,8,30,35,1,0.0666666666666667,6.66666666666667
M1,Chip,R,9,35,40,0,0,0
M1,Chip,R,10,40,45,0,0,0
M1,Chip,R,11,45,50,1,0.0666666666666667,6.66666666666667
M2,Pepper,R,1,-5,0,1,0.0714285714285714,7.14285714285714
M2,Pepper,R,2,0,5,7,0.5,50
M2,Pepper,R,3,5,10,5,0.357142857142857,35.7142857142857
M2,Pepper,R,4,10,15,1,0.0714285714285714,7.14285714285714
M2,Pepper,R,5,15,20,0,0,0
M2,Pepper,R,6,20,25,0,0,0
M2,Pepper,R,7,25,30,0,0,0
M2,Pepper,R,8,30,35,0,0,0
M2,Pepper,R,9,35,40,0,0,0
M2,Pepper,R,10,40,45,0,0,0
M2,Pepper,R,11,45,50,0,0,0
