monkeyID,animal,chamber,conditionPair,binIndex,binLeft,binRight,binCenter,count,testedCount,significantCount,significantFractionOfAll,significantFractionOfTested
M1,Chip,L,0/90,1,-5,0,-2.5,0,0,0,NaN,NaN
M1,Chip,L,0/90,2,0,5,2.5,0,0,0,NaN,NaN
M1,Chip,L,0/90,3,5,10,7.5,1,1,1,1,1
M1,Chip,L,0/90,4,10,15,12.5,2,2,2,1,1
M1,Chip,L,0/90,5,15,20,17.5,2,2,0,0,0
M1,Chip,L,0/90,6,20,25,22.5,3,3,3,1,1
M1,Chip,L,0/90,7,25,30,27.5,2,2,1,0.5,0.5
M1,Chip,L,0/90,8,30,35,32.5,2,2,1,0.5,0.5
M1,Chip,L,0/90,9,35,40,37.5,2,2,2,1,1
M1,Chip,L,0/90,10,40,45,42.5,1,1,1,1,1
M1,Chip,L,0/90,11,45,50,47.5,1,1,1,1,1
M1,Chip,R,0/90,1,-5,0,-2.5,0,0,0,NaN,NaN
M1,Chip,R,0/90,2,0,5,2.5,2,2,0,0,0
M1,Chip,R,0/90,3,5,10,7.5,2,2,0,0,0
M1,Chip,R,0/90,4,10,15,12.5,4,4,2,0.5,0.5
M1,Chip,R,0/90,5,15,20,17.5,1,1,1,1,1
M1,Chip,R,0/90,6,20,25,22.5,3,3,3,1,1
M1,Chip,R,0/90,7,25,30,27.5,1,1,1,1,1
M1,Chip,R,0/90,8,30,35,32.5,1,1,1,1,1
M1,Chip,R,0/90,9,35,40,37.5,0,0,0,NaN,NaN
M1,Chip,R,0/90,10,40,45,42.5,0,0,0,NaN,NaN
M1,Chip,R,0/90,11,45,50,47.5,1,1,1,1,1
M2,Pepper,R,0/90,1,-5,0,-2.5,1,1,0,0,0
M2,Pepper,R,0/90,2,0,5,2.5,7,7,0,0,0
M2,Pepper,R,0/90,3,5,10,7.5,7,7,0,0,0
M2,Pepper,R,0/90,4,10,15,12.5,3,3,1,0.333333333333333,0.333333333333333
M2,Pepper,R,0/90,5,15,20,17.5,1,1,1,1,1
M2,Pepper,R,0/90,6,20,25,22.5,0,0,0,NaN,NaN
M2,Pepper,R,0/90,7,25,30,27.5,0,0,0,NaN,NaN
M2,Pepper,R,0/90,8,30,35,32.5,0,0,0,NaN,NaN
M2,Pepper,R,0/90,9,35,40,37.5,0,0,0,NaN,NaN
M2,Pepper,R,0/90,10,40,45,42.5,0,0,0,NaN,NaN
M2,Pepper,R,0/90,11,45,50,47.5,0,0,0,NaN,NaN
All,All,Combined,0/90,1,-5,0,-2.5,1,1,0,0,0
All,All,Combined,0/90,2,0,5,2.5,9,9,0,0,0
All,All,Combined,0/90,3,5,10,7.5,10,10,1,0.1,0.1
All,All,Combined,0/90,4,10,15,12.5,9,9,5,0.555555555555556,0.555555555555556
All,All,Combined,0/90,5,15,20,17.5,4,4,2,0.5,0.5
All,All,Combined,0/90,6,20,25,22.5,6,6,6,1,1
All,All,Combined,0/90,7,25,30,27.5,3,3,2,0.666666666666667,0.666666666666667
All,All,Combined,0/90,8,30,35,32.5,3,3,2,0.666666666666667,0.666666666666667
All,All,Combined,0/90,9,35,40,37.5,2,2,2,1,1
All,All,Combined,0/90,10,40,45,42.5,1,1,1,1,1
All,All,Combined,0/90,11,45,50,47.5,2,2,2,1,1
