monkeyID,animal,chamber,conditionPair,binIndex,binLeft,binRight,binCenter,count,proportion
M1,Chip,L,0/90,1,-5,0,-2.5,0,0
M1,Chip,L,0/90,2,0,5,2.5,0,0
M1,Chip,L,0/90,3,5,10,7.5,1,0.0625
M1,Chip,L,0/90,4,10,15,12.5,2,0.125
M1,Chip,L,0/90,5,15,20,17.5,2,0.125
M1,Chip,L,0/90,6,20,25,22.5,3,0.1875
M1,Chip,L,0/90,7,25,30,27.5,2,0.125
M1,Chip,L,0/90,8,30,35,32.5,2,0.125
M1,Chip,L,0/90,9,35,40,37.5,2,0.125
M1,Chip,L,0/90,10,40,45,42.5,1,0.0625
M1,Chip,L,0/90,11,45,50,47.5,1,0.0625
M1,Chip,R,0/90,1,-5,0,-2.5,0,0
M1,Chip,R,0/90,2,0,5,2.5,2,0.133333333333333
M1,Chip,R,0/90,3,5,10,7.5,2,0.133333333333333
M1,Chip,R,0/90,4,10,15,12.5,4,0.266666666666667
M1,Chip,R,0/90,5,15,20,17.5,1,0.0666666666666667
M1,Chip,R,0/90,6,20,25,22.5,3,0.2
M1,Chip,R,0/90,7,25,30,27.5,1,0.0666666666666667
M1,Chip,R,0/90,8,30,35,32.5,1,0.0666666666666667
M1,Chip,R,0/90,9,35,40,37.5,0,0
M1,Chip,R,0/90,10,40,45,42.5,0,0
M1,Chip,R,0/90,11,45,50,47.5,1,0.0666666666666667
M2,Pepper,R,0/90,1,-5,0,-2.5,1,0.0526315789473684
M2,Pepper,R,0/90,2,0,5,2.5,7,0.368421052631579
M2,Pepper,R,0/90,3,5,10,7.5,7,0.368421052631579
M2,Pepper,R,0/90,4,10,15,12.5,3,0.157894736842105
M2,Pepper,R,0/90,5,15,20,17.5,1,0.0526315789473684
M2,Pepper,R,0/90,6,20,25,22.5,0,0
M2,Pepper,R,0/90,7,25,30,27.5,0,0
M2,Pepper,R,0/90,8,30,35,32.5,0,0
M2,Pepper,R,0/90,9,35,40,37.5,0,0
M2,Pepper,R,0/90,10,40,45,42.5,0,0
M2,Pepper,R,0/90,11,45,50,47.5,0,0
