monkeyID,animal,chamber,experimentID,powerClusterID,contrast,conPct,inconPct,observedDeltaBias,nCon,nIncon,conCorrect,inconCorrect,conReconstructionErrorPct,inconReconstructionErrorPct,nullDeltaMean,nullDeltaMedian,nullDeltaLower95,nullDeltaUpper95,oneSidedContrastP,nPermutations
M1,Chip,L,59,2,13,65,50,15,20,20,13,10,0,0,0.44,5,-35,35,0.273453093812375,500
M1,Chip,L,59,2,18,80,5,75,20,20,16,1,0,0,-0.76,-5,-25,35,0.00199600798403194,500
M1,Chip,L,59,2,25,65,30,35,20,20,13,6,0,0,-0.5,5,-35,35,0.029940119760479,500
M1,Chip,L,59,2,30,80,40,40,20,20,16,8,0,0,0.22,0,-30,30,0.0179640718562874,500
M1,Chip,L,59,2,60,90,30,60,20,20,18,6,0,0,-0.58,0,-30,30,0.00199600798403194,500
M1,Chip,L,89,2,12,70,30,40,20,20,14,6,0,0,-0.14,0,-30,30,0.0179640718562874,500
M1,Chip,L,89,2,15,65,45,20,20,20,13,9,0,0,-1.38,0,-30,30,0.129740518962076,500
M1,Chip,L,89,2,20,85,50,35,20,20,17,10,0,0,-0.56,-5,-25,25,0.0259481037924152,500
M1,Chip,L,89,2,35,95,60,35,20,20,19,12,0,0,-0.68,-5,-25,25,0.00998003992015968,500
M1,Chip,L,89,2,60,85,75,10,20,20,17,15,0,0,0.38,0,-20,20,0.355289421157685,500
M1,Chip,L,109,2,10,91.6666666666667,25,66.6666666666667,20,20,18,5,-1.66666666666667,7.105427357601e-15,0.5,5,-35,35,0.00199600798403194,500
M1,Chip,L,109,2,13,83.3333333333333,48.8095238095238,34.5238095238095,20,20,17,10,1.66666666666666,1.19047619047618,-0.34,-5,-25,35,0.029940119760479,500
M1,Chip,L,109,2,18,78.5714285714286,58.3333333333333,20.2380952380952,20,20,16,12,1.42857142857143,1.66666666666666,-0.24,0,-30,30,0.0339321357285429,500
M1,Chip,L,109,2,22,100,45.2380952380952,54.7619047619048,20,20,20,9,0,-0.238095238095241,0.14,5,-25,25,0.00199600798403194,500
M1,Chip,L,109,2,60,100,83.3333333333333,16.6666666666667,20,20,20,17,0,1.66666666666666,0.22,5,-15,15,0.00199600798403194,500
M1,Chip,L,112,2,0,55,45,10,40,40,22,18,0,0,0.11,0,-20,25,0.253493013972056,500
M1,Chip,L,112,2,14,50,30,20,20,20,10,6,0,0,-0.22,0,-30,30,0.17564870259481,500
M1,Chip,L,112,2,20,80,60,20,20,20,16,12,0,0,0.68,0,-30,30,0.169660678642715,500
M1,Chip,L,112,2,24,75,75,0,20,20,15,15,0,0,0.34,0,-30,30,0.648702594810379,500
M1,Chip,L,112,2,35,95,70,25,20,20,19,14,0,0,0.34,0,-25,25,0.06187624750499,500
M1,Chip,L,112,2,80,95,85,10,20,20,19,17,0,0,0.24,0,-20,20,0.315369261477046,500
M1,Chip,L,116,2,0,65,50,15,40,40,26,20,0,0,0.53,0,-20,20,0.111776447105788,500
M1,Chip,L,116,2,12,50,35,15,20,20,10,7,0,0,0.64,5,-35,35,0.289421157684631,500
M1,Chip,L,116,2,16,55,50,5,20,20,11,10,0,0,0.18,5,-25,35,0.512974051896208,500
M1,Chip,L,116,2,22,70,30,40,20,20,14,6,0,0,1.28,0,-30,30,0.0179640718562874,500
M1,Chip,L,116,2,40,65,70,-5,20,20,13,14,0,0,0.02,5,-35,25,0.7624750499002,500
M1,Chip,L,116,2,100,85,95,-10,20,20,17,19,0,0,-0.3,0,-20,20,0.944111776447106,500
M1,Chip,L,117,2,0,90,25,65,40,40,36,10,0,0,-0.27,0,-25,25,0.00199600798403194,500
M1,Chip,L,117,2,12,70,35,35,20,20,14,7,0,0,-0.14,-5,-25,35,0.0279441117764471,500
M1,Chip,L,117,2,18,70,25,45,20,20,14,5,0,0,-0.12,-5,-35,25,0.00598802395209581,500
M1,Chip,L,117,2,25,75,30,45,20,20,15,6,0,0,-0.22,-5,-35,35,0.00798403193612774,500
M1,Chip,L,117,2,50,95,75,20,20,20,19,15,0,0,-0.6,0,-20,20,0.0898203592814371,500
M1,Chip,L,117,2,100,100,100,0,20,20,20,20,0,0,0,0,0,0,1,500
M1,Chip,L,120,2,0,75,35,40,40,40,30,14,0,0,-0.21,0,-20,20,0.00199600798403194,500
M1,Chip,L,120,2,15,95,35,60,20,20,19,7,0,0,-1.06,0,-30,30,0.00199600798403194,500
M1,Chip,L,120,2,25,75,35,40,20,20,15,7,0,0,-0.08,0,-30,30,0.0119760479041916,500
M1,Chip,L,120,2,35,95,55,40,20,20,19,11,0,0,-0.26,0,-30,30,0.00399201596806387,500
M1,Chip,L,120,2,50,95,60,35,20,20,19,12,0,0,0.4,5,-25,25,0.00598802395209581,500
M1,Chip,L,120,2,100,95,95,0,20,20,19,19,0,0,0.04,0,-10,10,0.7624750499002,500
M1,Chip,L,57,3,12,50,40,10,20,20,10,8,0,0,1.32,0,-30,30,0.397205588822355,500
M1,Chip,L,57,3,14,50,45,5,20,20,10,9,0,0,0.62,5,-35,35,0.510978043912176,500
M1,Chip,L,57,3,18,60,40,20,20,20,12,8,0,0,0.28,0,-30,40,0.173652694610778,500
M1,Chip,L,57,3,25,70,40,30,20,20,14,8,0,0,0.28,0,-30,30,0.06187624750499,500
M1,Chip,L,57,3,50,75,50,25,20,20,15,10,0,0,0.46,5,-35,35,0.0958083832335329,500
M1,Chip,L,58,3,12,55,35,20,20,20,11,7,0,0,-0.52,0,-30,30,0.189620758483034,500
M1,Chip,L,58,3,15,70,35,35,20,20,14,7,0,0,0.9,5,-35,35,0.0419161676646707,500
M1,Chip,L,58,3,20,60,15,45,20,20,12,3,0,0,-0.02,5,-35,35,0.00598802395209581,500
M1,Chip,L,58,3,27,75,30,45,20,20,15,6,0,0,0.02,5,-25,25,0.00399201596806387,500
M1,Chip,L,58,3,50,80,40,40,20,20,16,8,0,0,-0.16,0,-30,30,0.00998003992015968,500
M1,Chip,L,68,3,13,75,45,30,20,20,15,9,0,0,-0.72,0,-30,30,0.0379241516966068,500
M1,Chip,L,68,3,18,55,40,15,20,20,11,8,0,0,0.96,5,-25,25,0.285429141716567,500
M1,Chip,L,68,3,25,90,35,55,20,20,18,7,0,0,-0.4,5,-35,25,0.00399201596806387,500
M1,Chip,L,68,3,30,70,55,15,20,20,14,11,0,0,0.58,5,-25,25,0.275449101796407,500
M1,Chip,L,68,3,60,80,65,15,20,20,16,13,0,0,-0.94,-5,-25,25,0.205588822355289,500
M1,Chip,L,72,3,11,55,55,0,20,20,11,11,0,0,0.04,0,-30,30,0.612774451097804,500
M1,Chip,L,72,3,15,70,60,10,20,20,14,12,0,0,1.02,0,-30,30,0.393213572854291,500
M1,Chip,L,72,3,20,90,90,0,20,20,18,18,0,0,0.56,0,-20,20,0.718562874251497,500
M1,Chip,L,72,3,35,95,90,5,20,20,19,18,0,0,1.18,5,-15,15,0.572854291417166,500
M1,Chip,L,72,3,80,90,80,10,20,20,18,16,0,0,1.1,0,-20,20,0.357285429141717,500
M1,Chip,L,73,3,10,60,25,35,20,20,12,5,0,0,1.38,5,-25,25,0.0239520958083832,500
M1,Chip,L,73,3,15,90,45,45,20,20,18,9,0,0,0.48,5,-25,25,0.00798403193612774,500
M1,Chip,L,73,3,18,90,35,55,20,20,18,7,0,0,1.14,5,-25,25,0.00199600798403194,500
M1,Chip,L,73,3,22,80,70,10,20,20,16,14,0,0,-1.04,0,-30,30,0.313373253493014,500
M1,Chip,L,73,3,50,95,65,30,20,20,19,13,0,0,0,0,-20,30,0.031936127744511,500
M1,Chip,L,83,3,10,85,50,35,20,20,17,10,0,0,0.14,5,-25,25,0.0119760479041916,500
M1,Chip,L,83,3,15,85,50,35,20,20,17,10,0,0,-0.38,-5,-25,25,0.0139720558882236,500
M1,Chip,L,83,3,18,80,60,20,20,20,16,12,0,0,0.18,0,-30,30,0.179640718562874,500
M1,Chip,L,83,3,22,75,60,15,20,20,15,12,0,0,0.54,5,-35,25,0.263473053892216,500
M1,Chip,L,83,3,50,85,95,-10,20,20,17,19,0,0,-0.4,0,-20,20,0.93812375249501,500
M1,Chip,L,84,3,10,55,45,10,20,20,11,9,0,0,1.52,0,-30,30,0.407185628742515,500
M1,Chip,L,84,3,15,65,35,30,20,20,13,7,0,0,0.36,0,-30,30,0.0758483033932136,500
M1,Chip,L,84,3,18,70,55,15,20,20,14,11,0,0,0.36,-5,-35,35,0.291417165668663,500
M1,Chip,L,84,3,22,75,65,10,20,20,15,13,0,0,1.06,0,-30,30,0.373253493013972,500
M1,Chip,L,84,3,50,90,85,5,20,20,18,17,0,0,0.46,5,-15,15,0.526946107784431,500
M1,Chip,L,90,3,12,65,40,25,20,20,13,8,0,0,-2.74,-5,-35,25,0.0838323353293413,500
M1,Chip,L,90,3,15,75,45,30,20,20,15,9,0,0,-0.16,0,-30,30,0.0578842315369262,500
M1,Chip,L,90,3,20,85,50,35,20,20,17,10,0,0,-1.04,-5,-35,35,0.031936127744511,500
M1,Chip,L,90,3,35,90,65,25,20,20,18,13,0,0,-0.88,-5,-25,25,0.0479041916167665,500
M1,Chip,L,90,3,60,95,95,0,20,20,19,19,0,0,0.06,0,-10,10,0.764471057884232,500
M1,Chip,L,108,3,8,60,45,15,20,20,12,9,0,0,0.54,5,-25,35,0.265469061876248,500
M1,Chip,L,108,3,11,90,45,45,20,20,18,9,0,0,0.38,5,-35,35,0.00399201596806387,500
M1,Chip,L,108,3,15,95,55,40,20,20,19,11,0,0,0.22,0,-30,30,0.00399201596806387,500
