monkeyID,animal,chamber,experimentID,sessionRowIndex,blockIndex,powerClusterID,clusterIncluded,nMatchedContrasts,observedMeanDeltaBias,nullMeanDeltaBiasMean,nullMeanDeltaBiasMedian,nullMeanDeltaBiasLower95,nullMeanDeltaBiasUpper95,oneSidedExperimentP,experimentSignificant,nPermutations
M1,Chip,L,59,3,5,2,1,5,45,-0.236,-1,-13,13,0.00199600798403194,1,500
M1,Chip,L,89,9,25,2,1,5,28,-0.476,0,-12,14,0.00199600798403194,1,500
M1,Chip,L,109,12,34,2,1,5,38.5714285714286,0.056,0,-12,12,0.00199600798403194,1,500
M1,Chip,L,112,13,35,2,1,6,14.1666666666667,0.248333333333333,0,-10,11.6666666666667,0.00998003992015968,1,500
M1,Chip,L,116,16,38,2,1,6,10,0.391666666666667,0.833333333333333,-11.6666666666667,11.6666666666667,0.0479041916167665,1,500
M1,Chip,L,117,17,39,2,1,6,35,-0.225,-0.833333333333333,-10.8333333333333,10,0.00199600798403194,1,500
M1,Chip,L,120,19,41,2,1,6,35.8333333333333,-0.195,0,-10.8333333333333,10.8333333333333,0.00199600798403194,1,500
M1,Chip,L,57,1,3,3,1,5,18,0.592,0,-14,14,0.0119760479041916,1,500
M1,Chip,L,58,2,4,3,1,5,37,0.044,-1,-13,15,0.00199600798403194,1,500
M1,Chip,L,68,4,12,3,1,5,26,-0.104,0,-14,14,0.00199600798403194,1,500
M1,Chip,L,72,5,13,3,1,5,5,0.78,1,-11,11,0.285429141716567,0,500
M1,Chip,L,73,6,14,3,1,5,35,0.392,1,-11,13,0.00199600798403194,1,500
M1,Chip,L,83,7,21,3,1,5,19,0.016,0,-11,11,0.00199600798403194,1,500
M1,Chip,L,84,8,22,3,1,5,14,0.752,0,-14,14,0.0379241516966068,1,500
M1,Chip,L,90,10,26,3,1,5,23,-0.952,-1,-13,11,0.00199600798403194,1,500
M1,Chip,L,108,11,33,3,1,5,22,0.336,0,-12,12,0.00199600798403194,1,500
M1,Chip,R,12,1,1,1,1,5,3,0.032,0,-12,13,0.323353293413174,0,500
M1,Chip,R,14,2,2,1,1,5,0.909090909090908,-0.022,0,-12,13,0.449101796407186,0,500
M1,Chip,R,15,3,3,1,1,5,10,-0.174,0,-12,11,0.0558882235528942,0,500
M1,Chip,R,17,4,4,1,1,5,7,0.326,0,-10,11,0.131736526946108,0,500
M1,Chip,R,19,5,5,1,1,5,8,0.148,0,-10,9,0.0758483033932136,0,500
M1,Chip,R,20,6,6,1,1,5,9,0.054,0,-10,10,0.0538922155688623,0,500
M1,Chip,R,23,8,8,1,1,5,6,-0.24,0,-11,10,0.129740518962076,0,500
M1,Chip,R,24,9,9,1,1,5,1,-0.232,0,-11,10,0.465069860279441,0,500
M1,Chip,R,21,7,7,2,1,5,17,-0.118,0,-10,11,0.00399201596806387,1,500
M1,Chip,R,26,10,10,2,1,5,-2,0.192,0,-9,9,0.702594810379242,0,500
M1,Chip,R,29,11,11,2,1,5,5,-0.168,0,-11,10,0.191616766467066,0,500
M1,Chip,R,31,12,12,2,1,5,4,0.062,0,-9,10,0.233532934131737,0,500
M1,Chip,R,32,13,13,2,1,5,1,0.048,0,-9,9,0.469061876247505,0,500
M1,Chip,R,34,14,14,2,1,5,0,-0.302,-1,-10,10,0.491017964071856,0,500
M1,Chip,R,37,15,15,2,1,5,7,-0.188,0,-11,11,0.125748502994012,0,500
M2,Pepper,R,27,2,2,2,1,5,0.909090909090908,0.092,0,-11,11,0.471057884231537,0,500
M2,Pepper,R,28,3,3,2,1,5,10,0.048,0,-11,13,0.0658682634730539,0,500
M2,Pepper,R,29,4,4,2,1,5,7,-0.222,0,-11,10,0.0958083832335329,0,500
M2,Pepper,R,34,8,8,2,1,5,6,0.23,0,-9,10,0.153692614770459,0,500
M2,Pepper,R,35,9,9,2,1,5,1,0.154,0,-10,10,0.483033932135729,0,500
M2,Pepper,R,38,12,12,2,1,5,4,-0.524,-1,-10,11,0.239520958083832,0,500
M2,Pepper,R,40,14,14,2,1,5,0,0.286,0,-10,11,0.532934131736527,0,500
M2,Pepper,R,41,15,15,2,1,5,7,0.092,0,-10,10,0.105788423153693,0,500
M2,Pepper,R,42,16,16,2,1,5,3,-0.28,0,-11,11,0.30938123752495,0,500
M2,Pepper,R,49,21,21,2,1,5,2,-0.152,0,-11,10,0.367265469061876,0,500
M2,Pepper,R,52,22,22,2,1,5,4,-0.114,0,-8,8,0.171656686626747,0,500
M2,Pepper,R,54,24,24,2,1,5,13,0.046,0,-10,9,0.00798403193612774,1,500
M2,Pepper,R,56,26,26,2,1,5,5,-0.138,0,-9,9,0.163672654690619,0,500
M2,Pepper,R,63,30,30,2,1,5,3.63636363636364,-0.146,0,-9,9,0.215568862275449,0,500
